Method,VaR_Dollar,Exceedances,Failure_Rate_%,Expected_Rate_%,LR_Statistic,P_Value,Kupiec_Valid
Historical Simulation,18670.35927177844,5,2.2222222222222223,1.0000000000000009,-22.753991012927674,1.0,True
Variance-Covariance,18196.51770651094,5,2.2222222222222223,1.0000000000000009,-22.753991012927674,1.0,True
Monte Carlo,18148.15874900841,5,2.2222222222222223,1.0000000000000009,-22.753991012927674,1.0,True
