Date,AAPL,MSFT,JPM,GLD,SPY
2022-11-07,136.988037109375,222.3390350341797,122.0094223022461,155.85000610351562,364.6375732421875
2022-11-08,137.55995178222656,223.3147430419922,122.0837173461914,159.4499969482422,366.6049499511719
2022-11-09,132.99436950683594,219.06057739257812,120.4955825805664,158.64999389648438,359.0521240234375
2022-11-10,144.82748413085938,237.08224487304688,125.45507049560547,163.47999572753906,378.7835693359375
2022-11-11,147.6181182861328,241.11204528808594,125.6594009399414,164.55999755859375,382.4495849609375
2022-11-14,146.2178497314453,235.68699645996094,124.36844635009766,164.9199981689453,379.1962585449219
2022-11-15,147.953369140625,236.09677124023438,123.46758270263672,165.5,382.43035888671875
2022-11-16,146.7207489013672,236.5272979736328,123.63472747802734,165.1199951171875,379.5129089355469
2022-11-17,148.62391662597656,236.47836303710938,123.0960464477539,163.9199981689453,378.3517150878906
2022-11-18,149.1859893798828,236.0282745361328,124.30342864990234,162.7899932861328,380.06951904296875
2022-11-21,145.95162963867188,236.84042358398438,123.5697250366211,161.8800048828125,378.6875915527344
2022-11-22,148.0914306640625,239.75628662109375,125.41791534423828,162.07000732421875,383.7835388183594
2022-11-23,148.96905517578125,242.25137329101562,126.75530242919922,163.0800018310547,386.2020568847656
2022-11-25,146.05023193359375,242.16334533691406,126.99679565429688,163.22000122070312,386.11566162109375
2022-11-28,142.2143096923828,236.55667114257812,124.77709197998047,161.92999267578125,379.95440673828125
2022-11-29,139.20672607421875,235.15740966796875,126.8296127319336,162.72999572753906,379.3017578125
2022-11-30,145.9713592529297,249.648681640625,128.33419799804688,164.80999755859375,391.25
2022-12-01,146.24746704101562,249.2083740234375,126.53243255615234,167.83999633789062,390.9621276855469
2022-12-02,145.75440979003906,249.5312957763672,125.52938079833984,167.25999450683594,390.51104736328125
2022-12-05,144.5908203125,244.8149871826172,122.0094223022461,164.38999938964844,383.486083984375
2022-12-06,140.92251586914062,239.84432983398438,122.2137451171875,164.83999633789062,377.9582824707031
2022-12-07,138.97994995117188,239.11045837402344,122.13013458251953,166.3300018310547,377.3151550292969
2022-12-08,140.66615295410156,242.0752716064453,123.41181945800781,166.47000122070312,380.2710876464844
2022-12-09,140.18295288085938,240.13787841796875,122.74312591552734,167.05999755859375,377.4303894042969
2022-12-12,142.48057556152344,247.0752716064453,124.64707946777344,165.67999267578125,382.87188720703125
2022-12-13,143.4469451904297,251.39039611816406,124.52632904052734,168.50999450683594,385.7701721191406
2022-12-14,141.21836853027344,251.68394470214844,123.9040756225586,168.10000610351562,383.30377197265625
2022-12-15,134.60171508789062,243.65060424804688,120.82991790771484,165.35000610351562,373.927490234375
2022-12-16,132.6393585205078,239.42361450195312,120.07762145996094,166.7899932861328,369.5128479003906
2022-12-19,130.5291290283203,235.2748565673828,120.79277038574219,166.32000732421875,366.3795166015625
2022-12-20,130.46011352539062,236.59579467773438,121.37788391113281,169.0800018310547,366.8808288574219
2022-12-21,133.5662841796875,239.169189453125,122.74312591552734,168.8000030517578,372.3665771484375
2022-12-22,130.3910675048828,233.06350708007812,121.35002899169922,166.75999450683594,367.0543518066406
2022-12-23,130.02621459960938,233.59185791015625,121.92583465576172,167.25999450683594,369.165771484375
2022-12-27,128.2216796875,231.86000061035156,122.35308074951172,168.6699981689453,367.7099304199219
2022-12-28,124.28716278076172,229.48228454589844,123.02176666259766,167.91000366210938,363.14007568359375
2022-12-29,127.80750274658203,235.82278442382812,123.72760772705078,168.85000610351562,369.67669677734375
2022-12-30,128.12303161621094,234.65841674804688,124.54491424560547,169.63999938964844,368.7030029296875
2023-01-03,123.33064270019531,234.42356872558594,125.49219512939453,171.05999755859375,367.1507263183594
2023-01-04,124.60270690917969,224.16912841796875,126.66243743896484,172.6699981689453,369.98529052734375
2023-01-05,123.28133392333984,217.52528381347656,126.63436889648438,170.52000427246094,365.762451171875
2023-01-06,127.8173599243164,220.08885192871094,129.05760192871094,173.7100067138672,374.15020751953125
2023-01-09,128.33998107910156,222.23178100585938,128.52432250976562,174.10000610351562,373.9380798339844
2023-01-10,128.91195678710938,223.924560546875,129.6750946044922,174.74000549316406,376.5604248046875
2023-01-11,131.63357543945312,230.69558715820312,130.63876342773438,174.6199951171875,381.3231201171875
2023-01-12,131.55465698242188,233.3766326904297,130.50779724121094,176.63999938964844,382.7113952636719
2023-01-13,132.88587951660156,234.08108520507812,133.80111694335938,178.75999450683594,384.19622802734375
2023-01-17,134.04946899414062,235.17701721191406,131.7333984375,177.58999633789062,383.4923400878906
2023-01-18,133.32965087890625,230.7347412109375,127.77584075927734,177.0800018310547,377.43780517578125
2023-01-19,133.3887939453125,226.938232421875,126.0730209350586,179.88999938964844,374.6900939941406
2023-01-20,135.95260620117188,235.04981994628906,126.38175964355469,179.2899932861328,381.67022705078125
2023-01-23,139.14759826660156,237.35902404785156,128.43075561523438,179.6300048828125,386.2497253417969
2023-01-24,140.5478515625,236.8306427001953,129.53475952148438,180.27999877929688,385.83514404296875
2023-01-25,139.8871307373047,235.43141174316406,130.16162109375,181.11000061035156,385.979736328125
2023-01-26,141.9579620361328,242.662353515625,130.96624755859375,179.47000122070312,390.2218322753906
2023-01-27,143.90054321289062,242.8189239501953,131.2843475341797,179.22000122070312,391.11846923828125
2023-01-30,141.0112762451172,237.48622131347656,130.17098999023438,178.75999450683594,386.211181640625
2023-01-31,142.28334045410156,242.47647094726562,130.947509765625,179.41000366210938,391.8897399902344
2023-02-01,143.4075164794922,247.3101348876953,130.60134887695312,181.6699981689453,396.05462646484375
